MPI VERSION    : CRAY MPICH version 7.5.0-pre (ANL base 3.2rc1)
MPI BUILD INFO : Built Wed Oct 12 18:54:53 2016 by nradclif (git hash dd31329) MT-G
[1] running inference for 200.0-201.0, 38.0-39.0 with 32 process(es)
[1] 39 RCFs
[11] 401 sources (141 tasks) in RCF 18 (3900, 4, 456)
[10] 426 sources (97 tasks) in RCF 17 (3900, 4, 455)
[12] 390 sources (172 tasks) in RCF 19 (3900, 4, 457)
[3] 581 sources (581 tasks) in RCF 5 (3900, 2, 457)
[4] 583 sources (0 tasks) in RCF 7 (3900, 2, 459)
[7] 421 sources (421 tasks) in RCF 13 (3900, 3, 457)
[2] 484 sources (484 tasks) in RCF 3 (3900, 2, 455)
[9] 450 sources (33 tasks) in RCF 16 (3900, 4, 454)
[25] 447 sources (447 tasks) in RCF 32 (4382, 3, 73)
[8] 491 sources (3 tasks) in RCF 15 (3900, 4, 453)
[6] 491 sources (491 tasks) in RCF 11 (3900, 3, 455)
[1] 475 sources (216 tasks) in RCF 1 (3900, 2, 453)
[26] 416 sources (340 tasks) in RCF 33 (4382, 3, 74)
[22] 460 sources (457 tasks) in RCF 29 (4382, 3, 70)
[13] 410 sources (0 tasks) in RCF 20 (3900, 4, 458)
[5] 513 sources (484 tasks) in RCF 9 (3900, 3, 453)
[27] 479 sources (235 tasks) in RCF 34 (4382, 1, 70)
[23] 395 sources (395 tasks) in RCF 30 (4382, 3, 71)
[21] 399 sources (185 tasks) in RCF 28 (4382, 3, 69)
[24] 416 sources (416 tasks) in RCF 31 (4382, 3, 72)
[19] 429 sources (429 tasks) in RCF 26 (4382, 2, 74)
[30] 418 sources (172 tasks) in RCF 37 (4382, 1, 73)
[28] 389 sources (281 tasks) in RCF 35 (4382, 1, 71)
[31] 444 sources (167 tasks) in RCF 38 (4382, 1, 74)
[14] 483 sources (14 tasks) in RCF 21 (4382, 2, 69)
[20] 418 sources (150 tasks) in RCF 27 (4382, 2, 75)
[32] 478 sources (71 tasks) in RCF 39 (4382, 1, 75)
[18] 479 sources (479 tasks) in RCF 25 (4382, 2, 73)
[15] 529 sources (505 tasks) in RCF 22 (4382, 2, 70)
[17] 483 sources (483 tasks) in RCF 24 (4382, 2, 72)
[16] 581 sources (581 tasks) in RCF 23 (4382, 2, 71)
[29] 360 sources (212 tasks) in RCF 36 (4382, 1, 72)
[3] 508 sources (434 tasks) in RCF 6 (3900, 2, 458)
[4] 431 sources (2 tasks) in RCF 8 (3900, 3, 452)
[2] 438 sources (438 tasks) in RCF 4 (3900, 2, 456)
[7] 419 sources (157 tasks) in RCF 14 (3900, 3, 458)
[6] 446 sources (446 tasks) in RCF 12 (3900, 3, 456)
[1] 487 sources (487 tasks) in RCF 2 (3900, 2, 454)
[5] 514 sources (514 tasks) in RCF 10 (3900, 3, 454)
[1] catalog size is 17862, 11620 tasks
[9] dtree: initial work: 145 (1161-1305)
[2] dtree: initial work: 145 (146-290)
[17] dtree: initial work: 145 (2321-2465)
[10] dtree: initial work: 145 (1306-1450)
[3] dtree: initial work: 145 (291-435)
[18] dtree: initial work: 145 (2466-2610)
[11] dtree: initial work: 145 (1451-1595)
[25] dtree: initial work: 145 (3481-3625)
[4] dtree: initial work: 145 (436-580)
[19] dtree: initial work: 145 (2611-2755)
[12] dtree: initial work: 145 (1596-1740)
[26] dtree: initial work: 145 (3626-3770)
[6] dtree: initial work: 145 (726-870)
[20] dtree: initial work: 145 (2756-2900)
[13] dtree: initial work: 145 (1741-1885)
[27] dtree: initial work: 145 (3771-3915)
[7] dtree: initial work: 145 (871-1015)
[21] dtree: initial work: 145 (2901-3045)
[14] dtree: initial work: 145 (1886-2030)
[28] dtree: initial work: 145 (3916-4060)
[8] dtree: initial work: 145 (1016-1160)
[22] dtree: initial work: 145 (3046-3190)
[15] dtree: initial work: 145 (2031-2175)
[29] dtree: initial work: 145 (4061-4205)
[1] dtree: initial work: 145 (1-145)
[23] dtree: initial work: 145 (3191-3335)
[16] dtree: initial work: 145 (2176-2320)
[30] dtree: initial work: 145 (4206-4350)
[5] dtree: initial work: 145 (581-725)
[24] dtree: initial work: 145 (3336-3480)
[31] dtree: initial work: 145 (4351-4495)
[32] dtree: initial work: 145 (4496-4640)
[1]<1> dtree: running tree
[3]<4> 1237662224072704203: 2.085 secs
[2]<2> 1237662224072639213: 4.533 secs
[23]<4> 1237662224609575106: 3.003 secs
[17]<4> 1237662224072966475: 4.061 secs
[23]<1> 1237662224609575104: 3.159 secs
[18]<3> 1237662224072966736: 3.247 secs
[20]<1> 1237662224609509680: 2.769 secs
[32]<3> 1237662224609706862: 2.609 secs
[20]<3> 1237662224609509679: 3.153 secs
[24]<1> 1237662224609575415: 3.072 secs
[18]<1> 1237662224072966738: 3.237 secs
[16]<4> 1237662224072901853: 3.352 secs
[27]<1> 1237662224609640723: 6.093 secs
[18]<2> 1237662224072966740: 1.89 secs
[32]<1> 1237662224609706864: 2.084 secs
[6]<3> 1237662224072769618: 2.847 secs
[11]<1> 1237662224072835676: 3.981 secs
[7]<2> 1237662224072769941: 4.33 secs
[28]<1> 1237662224609640985: 3.14 secs
[4]<1> 1237662224072704497: 2.554 secs
[12]<4> 1237662224072836037: 4.426 secs
[21]<3> 1237662224609509983: 4.929 secs
[29]<2> 1237662224609641276: 5.298 secs
[11]<2> 1237662224072835674: 4.796 secs
[14]<4> 1237662224072901190: 3.098 secs
[11]<4> 1237662224072835673: 4.844 secs
[23]<2> 1237662224609575107: 2.431 secs
[26]<4> 1237662224609576016: 2.505 secs
[10]<1> 1237662224072835392: 2.707 secs
[7]<1> 1237662224072769936: 5.6 secs
[3]<2> 1237662224072704197: 5.251 secs
[24]<3> 1237662224609575420: 2.508 secs
[10]<3> 1237662224072835394: 1.838 secs
[32]<2> 1237662224609706860: 5.633 secs
[2]<1> 1237662224072639216: 5.735 secs
[29]<4> 1237662224609641283: 4.013 secs
[21]<2> 1237662224609509984: 5.658 secs
[20]<2> 1237662224609509682: 3.382 secs
[30]<2> 1237662224609706208: 5.23 secs
[29]<1> 1237662224609641279: 5.996 secs
[31]<1> 1237662224609706571: 3.038 secs
[12]<3> 1237662224072836038: 3.141 secs
[7]<3> 1237662224072769943: 4.067 secs
[4]<2> 1237662224072704490: 6.968 secs
[5]<1> 1237662224072704790: 4.597 secs
[14]<2> 1237662224072901197: 2.745 secs
[11]<3> 1237662224072835678: 3.501 secs
[31]<4> 1237662224609706568: 3.306 secs
[23]<3> 1237662224609575109: 2.446 secs
[16]<3> 1237662224072901852: 4.851 secs
[3]<3> 1237662224072704199: 3.646 secs
[30]<4> 1237662224609706222: 5.308 secs
[4]<3> 1237662224072704493: 5.079 secs
[25]<3> 1237662224609575722: 17.827 secs
[4]<4> 1237662224072704496: 5.064 secs
[14]<3> 1237662224072901196: 3.456 secs
[3]<1> 1237662224072704205: 3.617 secs
[32]<3> 1237662224609706873: 1.554 secs
[32]<4> 1237662224609706871: 2.705 secs
[16]<1> 1237662224072901850: 5.695 secs
[28]<4> 1237662224609640987: 4.43 secs
[20]<4> 1237662224609509681: 4.518 secs
[15]<2> 1237662224072901472: 4.999 secs
[32]<1> 1237662224609706874: 1.517 secs
[12]<2> 1237662224072836039: 3.019 secs
[22]<3> 1237662224609510287: 4.38 secs
[9]<1> 1237662224072770572: 4.823 secs
[19]<2> 1237662224072967161: 2.622 secs
[27]<2> 1237662224609640725: 7.98 secs
[25]<1> 1237662224609575724: 3.799 secs
[27]<4> 1237662224609640726: 8.07 secs
[24]<2> 1237662224609575419: 4.795 secs
[19]<4> 1237662224072967159: 3.074 secs
[7]<4> 1237662224072769944: 2.928 secs
[30]<3> 1237662224609706198: 19.11 secs
[25]<4> 1237662224609575728: 3.015 secs
[17]<1> 1237662224072966480: 3.143 secs
[10]<4> 1237662224072835393: 4.276 secs
[15]<3> 1237662224072901476: 5.495 secs
[28]<1> 1237662224609640989: 2.049 secs
[2]<3> 1237662224072639219: 5.853 secs
[5]<2> 1237662224072704794: 5.737 secs
[10]<2> 1237662224072835396: 2.877 secs
[31]<3> 1237662224609706573: 3.721 secs
[21]<4> 1237662224609509988: 3.111 secs
[13]<4> 1237662224072900915: 3.76 secs
[22]<2> 1237662224609510286: 5.584 secs
[17]<2> 1237662224072966479: 4.773 secs
[7]<2> 1237662224072769945: 2.445 secs
[18]<1> 1237662224072966742: 2.634 secs
[19]<1> 1237662224072967160: 3.837 secs
[17]<3> 1237662224072966476: 5.12 secs
[16]<4> 1237662224072901855: 2.7 secs
